time,ax,ay,az,rollrate,pitchrate,yawrate,latitude,longitude,altitude
82802500,-0.4216,-0.0392,-9.6589,-0.6956,-2.0173,-0.2086,51.044935,13.77761,117.74
82802500,-1.0884,-0.5883,-10.2375,-0.8347,-3.2,-0.2782,51.044935,13.77761,117.74
82802500,-0.9806,-0.3628,-9.5805,-1.0434,-1.5304,-0.2086,51.044938,13.777597,117.74
82802600,-1.5003,-0.5099,-10.0806,-0.5565,-3.1304,-0.1391,51.044938,13.777597,117.77
82802600,-0.9904,-0.7844,-9.7374,-0.8347,-1.7391,0,51.044938,13.777597,117.77
82802600,-0.1863,-0.2745,-9.6785,-0.626,-0.6956,-0.0695,51.044938,13.777597,117.77
82802600,-0.402,-0.451,-9.9629,-1.113,-2.4347,-0.2782,51.044938,13.777597,117.77
82802600,-0.402,-0.3726,-9.453,-1.5304,-2.4347,-0.4869,51.044942,13.777584,117.77
82802700,0.3235,-0.1176,-9.5314,-1.4608,-1.0434,-0.4869,51.044942,13.777584,117.79
82802700,-0.6373,-0.2745,-9.855,-1.3913,-2.5739,-0.4173,51.044942,13.777584,117.79
82802700,-0.9413,-0.3039,-10.2669,-1.8782,-3.2,-0.4173,51.044942,13.777584,117.79
82802700,-0.5687,-0.706,-9.404,-1.9478,-1.6695,-0.3478,51.044942,13.777584,117.79
82802700,-1.3042,-0.6079,-9.7864,-2.3652,-2.9217,-0.2782,51.044945,13.777571,117.79
82802800,-1.6474,-0.4608,-9.7276,-1.8782,-2.713,-0.1391,51.044945,13.777571,117.79
82802800,-0.3922,-0.4216,-9.7079,-1.3913,-2.2956,-0.1391,51.044945,13.777571,117.79
82802800,-0.4903,-0.2451,-9.6981,-0.9043,-1.0434,0,51.044945,13.777571,117.79
82802800,-0.3432,-0.2843,-10.6984,-0.9043,-2.8521,-0.0695,51.044945,13.777571,117.79
82802800,-0.1274,-0.2451,-9.3745,-0.7652,-2.0869,-0.4173,51.044948,13.777558,117.79
82802900,-0.0294,0.1863,-10.159,-0.5565,-2.0869,-0.5565,51.044948,13.777558,117.79
82802900,-0.2843,0.1667,-9.1392,-0.2086,-2.4347,-0.2782,51.044948,13.777558,117.79
82802900,-1.2257,-0.5687,-10.4826,-0.9043,-4.3826,-0.4173,51.044948,13.777558,117.79
82802900,-0.7256,-1.1178,-9.757,-1.6695,-2.2956,-0.2782,51.044948,13.777558,117.79
82802900,-1.1276,-0.7158,-9.1,-2.0173,-2.226,-0.4173,51.044951,13.777545,117.79
82803000,-1.5591,-0.5785,-9.4432,-1.6,-2.8521,-0.2086,51.044951,13.777545,117.79
82803000,-0.8923,-0.0588,-9.4922,-1.9478,-2.2956,-0.1391,51.044951,13.777545,117.79
82803000,-0.1372,-0.2353,-9.4334,-1.3217,-0.9739,-0.2782,51.044951,13.777545,117.79
82803000,-0.6766,-0.4412,-10.1982,-1.113,-2.3652,-0.2086,51.044951,13.777545,117.79
82803000,-0.6766,0.147,-9.502,-1.3217,-2.8521,-0.3478,51.044953,13.777531,117.79
82803100,0.1765,0.2745,-9.5608,-1.1826,-1.1826,-0.4869,51.044953,13.777531,117.79
82803100,-0.2353,0.2059,-10.4238,-0.8347,-2.5043,-0.4173,51.044953,13.777531,117.79
82803100,-0.4706,-0.5589,-9.5608,-0.6956,-2.2956,-0.2782,51.044953,13.777531,117.79
82803100,-1.1473,-0.451,-10.2473,-1.2521,-2.9913,-0.2782,51.044953,13.777531,117.79
82803100,-0.8433,-0.6079,-9.9335,-1.113,-1.3913,-0.1391,51.044957,13.777518,117.79
82803200,-0.8531,-0.7158,-9.0607,-0.626,-1.6,-0.1391,51.044957,13.777518,117.74
82803200,-1.3728,-0.4608,-10.0806,-1.113,-2.1565,-0.1391,51.044957,13.777518,117.74
82803200,-0.5197,-0.2745,-10.5022,-0.7652,-1.7391,-0.2086,51.044957,13.777518,117.74
82803200,-0.147,-0.2745,-10.1296,-1.3913,-1.3913,0,51.044957,13.777518,117.74
82803200,-0.6766,-0.1078,-9.9237,-1.9478,-2.6434,-0.1391,51.04496,13.777505,117.74
82803300,-0.8629,-0.0098,-9.7962,-1.9478,-2.9217,-0.4869,51.04496,13.777505,117.71
82803300,-0.1667,0.1274,-9.6981,-1.3217,-1.9478,-0.5565,51.04496,13.777505,117.71
82803300,0.3235,0.2451,-9.5216,-1.3913,-1.9478,-0.4173,51.04496,13.777505,117.71
82803300,-0.4118,-0.5491,-9.3059,-1.113,-2.5043,-0.4173,51.04496,13.777505,117.71
82803300,-1.108,-0.6079,-10.0119,-1.3217,-3.826,-0.4173,51.044963,13.777492,117.71
82803400,-0.7256,-0.7158,-9.2667,-1.6695,-2.0173,-0.4173,51.044963,13.777492,117.68
82803400,-0.6471,-0.7158,-9.4922,-1.6,-2.1565,-0.1391,51.044963,13.777492,117.68
82803400,-1.3434,-0.3824,-10.414,-1.2521,-2.713,-0.1391,51.044963,13.777492,117.68
82803400,-0.9315,-0.4706,-9.7668,-1.3217,-2.0869,-0.1391,51.044963,13.777492,117.68
82803400,-0.5197,0.3137,-9.9335,-1.4608,-0.4173,-0.1391,51.044966,13.777479,117.68
82803500,-0.4216,-0.0784,-10.1002,-1.6,-1.1826,0,51.044966,13.777479,117.65
82803500,-1.0982,-0.3824,-10.0119,-1.2521,-2.2956,-0.2782,51.044966,13.777479,117.65
82803500,0.0882,-0.2451,-9.806,-1.1826,-3.1304,-0.2086,51.044966,13.777479,117.65
82803500,0.2157,0.098,-9.5412,-0.9739,-1.6695,-0.2782,51.044966,13.777479,117.65
82803500,0.2255,-0.098,-9.9727,-0.7652,-2.1565,-0.4173,51.044969,13.777466,117.65
82803600,-1.2061,-0.5001,-10.2767,-0.1391,-3.5478,-0.2086,51.044969,13.777466,117.64
82803600,-0.8727,-0.2255,-9.2667,-0.626,-3.2695,-0.4173,51.044969,13.777466,117.64
82803600,-0.6275,-0.5393,-10.2571,-0.8347,-2.9913,-0.4173,51.044969,13.777466,117.64
82803600,-0.2157,-0.5393,-9.0019,-0.9043,-1.113,-0.2086,51.044969,13.777466,117.64
82803600,-1.5591,-0.6373,-10.5611,-0.9043,-3.4782,-0.2086,51.044972,13.777453,117.64
82803700,-1.4022,-0.5589,-9.2863,-1.113,-2.5739,0,51.044972,13.777453,117.61
82803700,-0.9707,-0.2059,-10.7964,-0.9739,-3.6173,0,51.044972,13.777453,117.61
82803700,-0.3726,-0.1765,-9.2961,-1.113,-1.4608,-0.1391,51.044972,13.777453,117.61
82803700,-1.1375,-0.2255,-10.9043,-1.4608,-2.9913,0,51.044972,13.777453,117.61
82803700,-1.6768,-0.1568,-10.4434,-1.3913,-3.6173,-0.1391,51.044975,13.77744,117.61
82803800,-0.6177,0.0098,-9.1098,-1.1826,-1.3913,-0.2086,51.044975,13.77744,117.61
82803800,-0.049,0.2353,-9.0902,-1.0434,-1.1826,-0.3478,51.044975,13.77744,117.61
82803800,-0.4118,-0.1961,-9.6295,-1.113,-1.113,-0.3478,51.044975,13.77744,117.61
82803800,-0.1568,-0.3726,-9.198,-0.9739,-1.1826,-0.4173,51.044975,13.77744,117.61
82803800,-1.0688,-0.5001,-10.3944,-1.1826,-3.0608,-0.3478,51.044979,13.777426,117.61
82803900,-0.2353,-0.3628,-8.2861,-1.2521,-0.4173,-0.3478,51.044979,13.777426,117.6
82803900,-0.4314,-0.6471,-9.7766,-0.6956,-0.3478,-0.4869,51.044979,13.777426,117.6
82803900,-0.8923,-0.7256,-9.8844,-0.9739,-0.2086,-0.2782,51.044979,13.777426,117.6
82803900,-1.3042,-0.402,-9.9433,-1.3217,-1.5304,-0.4869,51.044979,13.777426,117.6
82803900,-1.7062,-0.7648,-11.3357,-1.8782,-2.4347,-0.2086,51.044982,13.777413,117.6
82804000,-0.7452,-0.3922,-8.9333,-2.2956,-0.0695,-0.0695,51.044982,13.777413,117.59
82804000,-0.5197,-0.5883,-10.0315,-3.2,-0.8347,0,51.044982,13.777413,117.59
82804000,-0.5491,-0.1568,-10.7474,-2.713,-2.226,-0.0695,51.044982,13.777413,117.59
82804000,-1.6179,0.2157,-11.5711,-2.0173,-3.5478,-0.2086,51.044982,13.777413,117.59
82804000,-0.2843,-0.3137,-10.4924,-2.0173,-2.713,0,51.044985,13.7774,117.59
82804100,0.2353,0.0882,-8.8842,-1.3217,-0.9043,-0.4173,51.044985,13.7774,117.57
82804100,-0.4314,0.2059,-9.7374,-0.626,-3.2,-0.626,51.044985,13.7774,117.57
82804100,-0.5295,-0.0882,-9.4432,-0.626,-3.7565,-0.5565,51.044985,13.7774,117.57
82804100,-0.2059,-0.3432,-10.5513,-0.4869,-4.2434,-0.4869,51.044985,13.7774,117.57
82804100,-0.0588,-0.9217,-9.0117,-0.9739,-4.5913,-0.5565,51.044989,13.777386,117.57
82804200,-0.5883,-0.6864,-10.0021,-1.6,-4.5913,-0.4173,51.044989,13.777386,117.55
82804200,-0.3137,-0.2353,-8.9921,-1.9478,-2.8521,-0.2086,51.044989,13.777386,117.55
82804200,-0.1274,-0.6962,-10.8651,-1.6,-3.3391,-0.5565,51.044989,13.777386,117.55
82804200,-1.1571,-0.4706,-9.7079,-1.9478,-3.0608,-0.2782,51.044989,13.777386,117.55
82804200,-1.6278,0.0294,-9.855,-1.8086,-4.1043,-0.4869,51.044992,13.777373,117.55
82804300,-1.2943,0.0882,-9.8158,-2.4347,-3.0608,-0.3478,51.044992,13.777373,117.54
82804300,-1.7062,-0.2549,-10.4042,-1.6695,-2.5739,-0.2086,51.044992,13.777373,117.54
82804300,-0.9315,-0.0294,-9.3157,-2.6434,-1.3913,0.2086,51.044992,13.777373,117.54
82804300,-1.2061,-0.3628,-10.3944,-1.6695,-2.3652,0.2086,51.044992,13.777373,117.54
82804300,-1.7454,0.0588,-10.7964,-2.5739,-3.4086,0.6956,51.044996,13.77736,117.54
82804400,-1.8631,-0.098,-10.5218,-1.7391,-3.4086,0.3478,51.044996,13.77736,117.52
82804400,-0.3235,-0.402,-8.7175,-1.5304,-0.5565,0.2782,51.044996,13.77736,117.52
82804400,0.0588,-0.5589,-8.7568,-1.0434,-0.9043,0.0695,51.044996,13.77736,117.52
82804400,-0.3432,0.1176,-10.0413,-1.2521,-1.3913,-0.1391,51.044996,13.77736,117.52
82804400,-0.6962,-0.6177,-10.2375,-0.6956,-2.9217,-0.0695,51.044999,13.777346,117.52
82804500,-0.4412,-0.4706,-9.2274,-0.9043,-2.226,-0.2782,51.044999,13.777346,117.51
82804500,-1.0296,-0.8727,-10.1296,0.1391,-3.3391,-0.4173,51.044999,13.777346,117.51
82804500,-0.6766,-0.5197,-8.7077,-1.0434,-1.4608,-0.1391,51.044999,13.777346,117.51
82804500,-0.2353,-0.5295,-9.2667,-0.4869,-1.4608,-0.2086,51.044999,13.777346,117.51
82804500,-0.5295,-0.5981,-9.0215,-0.626,-0.9739,-0.4173,51.045002,13.777333,117.51
82804600,-0.9119,-0.5393,-8.7175,-0.7652,-0.8347,-0.1391,51.045002,13.777333,117.49
82804600,-1.3238,-0.6668,-9.6785,-0.9739,-1.5304,0.1391,51.045002,13.777333,117.49
82804600,-1.1767,-0.3824,-9.7962,-1.3913,-1.4608,0.1391,51.045002,13.777333,117.49
82804600,-1.108,-0.0294,-10.0315,-0.9043,-0.5565,0.1391,51.045002,13.777333,117.49
82804600,-1.3826,0.0784,-9.6687,-1.5304,-0.6956,0.0695,51.045006,13.777319,117.49
82804700,-1.2159,-0.2059,-10.3159,-1.1826,-0.8347,0.2782,51.045006,13.777319,117.47
82804700,-0.8139,0.0196,-9.404,-1.0434,-0.4173,0.0695,51.045006,13.777319,117.47
82804700,-0.8727,-0.1568,-10.3551,-1.2521,-0.9739,0.0695,51.045006,13.777319,117.47
82804700,-1.3238,-0.0882,-10.4238,-1.6,-2.226,0.2086,51.045006,13.777319,117.47
82804700,-1.1571,0.0588,-10.2375,-1.3913,-2.4347,0.1391,51.045009,13.777306,117.47
82804800,-1.2747,0.0098,-9.9237,-1.3217,-2.4347,0.2782,51.045009,13.777306,117.45
82804800,-1.3042,-0.1863,-10.1002,-1.7391,-2.5043,0.2086,51.045009,13.777306,117.45
82804800,-0.7354,-0.0294,-9.5903,-1.1826,-2.0869,0.3478,51.045009,13.777306,117.45
82804800,-0.6864,-0.3039,-9.1784,-0.626,-2.2956,0.2782,51.045009,13.777306,117.45
82804800,-1.108,-0.7648,-9.4628,-0.8347,-2.6434,0.0695,51.045012,13.777292,117.45
82804900,-0.4608,-0.4903,-9.2471,-1.6695,-2.2956,0,51.045012,13.777292,117.45
82804900,-0.5197,-0.3922,-9.0902,-1.113,-2.3652,0.0695,51.045012,13.777292,117.45
82804900,-0.6668,-0.5981,-9.6197,-0.9043,-2.0869,-0.2086,51.045012,13.777292,117.45
82804900,-1.0002,-0.4903,-9.7668,-0.6956,-2.9217,-0.0695,51.045012,13.777292,117.45
82804900,-0.5393,-0.6373,-9.1392,-0.3478,-1.8782,-0.2782,51.045016,13.777278,117.45
82805000,-0.706,-0.3039,-8.8352,-0.1391,-2.226,-0.1391,51.045016,13.777278,117.43
82805000,-0.4706,-0.3824,-10.1394,0.2086,-2.2956,-0.0695,51.045016,13.777278,117.43
82805000,-0.4706,-0.9119,-9.6687,-0.3478,-1.8782,0,51.045016,13.777278,117.43
82805000,-0.5785,-0.7746,-9.1392,-0.5565,-2.0173,0.2086,51.045016,13.777278,117.43
82805000,-1.0296,-0.7256,-9.3647,-0.4869,-2.0173,0,51.045019,13.777264,117.43
82805100,-0.402,-0.6373,-9.1,-0.3478,-1.1826,0.0695,51.045019,13.777264,117.41
82805100,-0.6373,-0.4903,-9.5216,-0.6956,-1.5304,0.1391,51.045019,13.777264,117.41
82805100,-0.4608,-0.402,-9.6589,-0.9043,-1.7391,-0.0695,51.045019,13.777264,117.41
82805100,-0.4903,-0.7746,-9.2765,-0.7652,-1.8782,-0.0695,51.045019,13.777264,117.41
82805100,-0.6962,-0.4216,-8.8842,-1.1826,-1.5304,-0.0695,51.045023,13.77725,117.41
82805200,-0.7746,-0.402,-9.7962,-1.0434,-2.5739,-0.0695,51.045023,13.77725,117.39
82805200,-1.0884,-0.5687,-9.6197,-1.1826,-1.6,-0.0695,51.045023,13.77725,117.39
82805200,-0.6766,-0.2647,-10.0021,-1.0434,-1.9478,0.3478,51.045023,13.77725,117.39
82805200,-1.2257,-0.5099,-9.9923,-0.9043,-2.9913,0.2086,51.045023,13.77725,117.39
82805200,-1.0688,-0.6373,-9.1,-1.2521,-2.0173,0.1391,51.045027,13.777236,117.39
82805300,-0.5001,-0.098,-8.7273,-1.3217,-1.6,0,51.045027,13.777236,117.38
82805300,-1.1963,-0.402,-10.1492,-1.3217,-2.6434,0.2086,51.045027,13.777236,117.38
82805300,-1.1865,0,-10.1786,-1.3217,-2.226,0,51.045027,13.777236,117.38
82805300,-1.108,0,-9.8746,-1.3217,-1.8782,0,51.045027,13.777236,117.38
82805300,-1.3434,-0.2059,-9.7177,-1.3913,-2.3652,0,51.04503,13.777222,117.38
82805400,-0.9904,-0.2255,-9.2961,-1.2521,-1.3913,-0.1391,51.04503,13.777222,117.36
82805400,-1.0786,-0.0294,-10.3748,-1.4608,-1.8782,0.0695,51.04503,13.777222,117.36
82805400,-0.8139,0.0784,-9.9139,-1.0434,-1.4608,0.1391,51.04503,13.777222,117.36
82805400,-1.1276,-0.0686,-10.0708,-1.7391,-1.8782,0.0695,51.04503,13.777222,117.36
82805400,-1.4611,0.1372,-10.3649,-1.6,-2.1565,0.0695,51.045033,13.777208,117.36
82805500,-1.3434,0.098,-10.0315,-1.8782,-1.6,0.1391,51.045033,13.777208,117.35
82805500,-0.6864,-0.049,-9.2569,-1.9478,-1.1826,0.1391,51.045033,13.777208,117.35
82805500,-1.3826,-0.3235,-10.4336,-1.0434,-2.7826,-0.0695,51.045033,13.777208,117.35
82805500,-1.2355,0.0882,-9.7079,-2.0869,-1.5304,0.1391,51.045033,13.777208,117.35
82805500,-1.2061,0.1078,-10.5022,-1.3913,-2.0173,0.2782,51.045037,13.777194,117.35
82805600,-1.2257,0.2255,-9.5314,-1.0434,-0.9043,0.0695,51.045037,13.777194,117.35
82805600,-0.6177,0.1176,-10.1688,-0.9739,-1.113,0.1391,51.045037,13.777194,117.35
82805600,-0.7158,-0.2451,-9.5412,-1.3913,-0.9043,0.1391,51.045037,13.777194,117.35
82805600,-0.7942,-0.147,-9.4824,-1.113,-1.4608,0.2782,51.045037,13.777194,117.35
82805600,-1.2453,-0.1961,-9.757,-0.9739,-1.3913,0.3478,51.045041,13.777179,117.35
82805700,-0.8237,-0.1961,-9.3353,-0.6956,-1.113,0.0695,51.045041,13.777179,117.34
82805700,-0.2255,-0.0882,-9.6393,-1.0434,-0.9043,0.2086,51.045041,13.777179,117.34
82805700,-0.8727,-0.1667,-9.7668,-1.0434,-1.0434,0.0695,51.045041,13.777179,117.34
82805700,-0.6864,0.1372,-9.806,-0.3478,-1.3217,0.0695,51.045041,13.777179,117.34
82805700,-0.2353,-0.2843,-9.2176,-0.9739,-0.9043,-0.0695,51.045044,13.777165,117.34
82805800,-0.5687,-0.2059,-9.7177,-0.7652,-1.3913,0.0695,51.045044,13.777165,117.34
82805800,-0.8433,0.5393,-8.237,0,-1.1826,-0.1391,51.045044,13.777165,117.34
82805800,0.3137,0.0784,-8.1292,1.2521,-0.626,-0.1391,51.045044,13.777165,117.34
82805800,0.353,-0.402,-10.7572,1.1826,-0.9043,-0.2782,51.045044,13.777165,117.34
82805800,-0.3726,-1.0982,-10.5218,-0.8347,-2.5043,-0.0695,51.045048,13.77715,117.34
82805900,-0.5589,-1.1767,-8.9136,-1.9478,-2.4347,0.2782,51.045048,13.77715,117.34
82805900,-1.0394,-0.2451,-7.9429,-1.6,-1.9478,0.3478,51.045048,13.77715,117.34
82805900,-1.0688,-0.6177,-11.022,-1.8782,-3.4086,0.3478,51.045048,13.77715,117.34
82805900,-0.0294,-0.1078,-9.3451,-1.6695,-2.3652,0.0695,51.045048,13.77715,117.34
82805900,-0.8629,-0.0392,-9.9335,-1.3913,-4.1043,0.1391,51.045052,13.777135,117.34
82806000,-2.2848,-1.5591,-10.4336,-1.6,-4.5217,0,51.045052,13.777135,117.34
82806000,-1.1473,0,-9.5412,-0.9043,-3.5478,0.1391,51.045052,13.777135,117.34
82806000,-1.3728,-0.2255,-8.8646,-1.113,-2.5739,0.0695,51.045052,13.777135,117.34
82806000,-0.1078,0.3235,-10.1296,-0.5565,-3.6173,0.2782,51.045052,13.777135,117.34
82806000,-0.4314,-0.0588,-9.2176,0.1391,-3.4086,0.4869,51.045055,13.777121,117.34
82806100,-0.6668,-0.0882,-9.0215,-0.4173,-2.9217,0.0695,51.045055,13.777121,117.33
82806100,-2.02,-1.1963,-9.8648,-0.9043,-3.2,0.1391,51.045055,13.777121,117.33
82806100,-1.6768,-0.5589,-9.6197,-1.9478,-1.4608,0,51.045055,13.777121,117.33
82806100,-0.098,-0.5589,-8.8744,-0.626,-1.3217,0,51.045055,13.777121,117.33
82806100,-1.9121,-0.7158,-9.9433,-0.9043,-3.1304,-0.2086,51.045059,13.777106,117.33
82806200,-1.9121,-1.5297,-9.6883,-2.6434,-1.3913,0.0695,51.045059,13.777106,117.33
82806200,-0.7648,-1.0198,-10.3355,-2.4347,-2.0869,0.2086,51.045059,13.777106,117.33
82806200,-1.5395,-1.2943,-9.9237,-2.7826,-2.1565,0.4173,51.045059,13.777106,117.33
82806200,-0.5687,-0.4804,-10.2669,-1.3217,-2.7826,0.3478,51.045059,13.777106,117.33
82806200,-1.9121,-0.8727,-9.8844,-2.7826,-2.5043,0.5565,51.045063,13.777091,117.33
82806300,-0.9315,-0.1274,-10.3944,-3.3391,-1.1826,0.4869,51.045063,13.777091,117.32
82806300,-1.4709,0.2745,-10.0806,-2.3652,-1.8782,0.3478,51.045063,13.777091,117.32
82806300,-0.1372,-0.2059,-9.7472,-1.5304,-0.5565,0.4173,51.045063,13.777091,117.32
82806300,-0.804,0.147,-9.9237,-1.2521,-0.5565,0.4173,51.045063,13.777091,117.32
82806300,-0.402,0.4608,-10.5807,-2.2956,-0.5565,0.626,51.045067,13.777077,117.32
82806400,-1.1276,-0.0392,-10.1002,-1.6695,-1.5304,0.4173,51.045067,13.777077,117.31
82806400,-0.3628,-0.2353,-9.0411,-1.1826,-0.5565,0.626,51.045067,13.777077,117.31
82806400,-0.049,-0.706,-8.8352,-0.7652,-0.9739,0.5565,51.045067,13.777077,117.31
82806400,-0.5001,-0.1961,-9.1686,-0.626,-0.8347,0.5565,51.045067,13.777077,117.31
82806400,-0.0294,-0.2059,-9.0313,-0.5565,-1.0434,0.4173,51.04507,13.777062,117.31
82806500,-0.3922,-0.0588,-9.453,-0.2086,-1.6695,0.3478,51.04507,13.777062,117.3
82806500,-0.5589,-0.147,-9.7177,-0.2782,-1.7391,0.5565,51.04507,13.777062,117.3
82806500,-0.8531,-0.0392,-9.7177,0.2086,-2.3652,0.4173,51.04507,13.777062,117.3
82806500,-0.8335,-0.4412,-9.3647,0.2086,-2.713,0.626,51.04507,13.777062,117.3
82806500,-1.2061,-0.5589,-9.3353,0.1391,-2.5043,0.6956,51.045074,13.777047,117.3
82806600,-0.9315,-0.8433,-9.4236,-0.3478,-2.0869,0.5565,51.045074,13.777047,117.3
82806600,-1.3826,-1.0296,-9.9531,-0.9043,-3.2,0.6956,51.045074,13.777047,117.3
82806600,-1.3924,-0.5687,-9.198,-1.113,-1.113,0.8347,51.045074,13.777047,117.3
82806600,-1.2453,-0.5687,-10.5611,-0.5565,-2.9913,0.6956,51.045074,13.777047,117.3
82806600,-1.0002,-0.9806,-9.8844,-1.3913,-2.0869,0.7652,51.045079,13.777032,117.3
82806700,-1.1963,-0.7942,-10.6493,-1.4608,-3.1304,0.9043,51.045079,13.777032,117.3
82806700,-1.5591,-0.9217,-10.2865,-0.6956,-2.7826,0.7652,51.045079,13.777032,117.3
82806700,-0.5883,-0.3628,-9.8648,-1.113,-2.5043,0.7652,51.045079,13.777032,117.3
82806700,-0.8531,-0.1961,-9.8844,-1.3217,-2.226,0.6956,51.045079,13.777032,117.3
82806700,-0.5393,-0.5785,-9.6589,-1.2521,-1.4608,0.626,51.045082,13.777017,117.3
82806800,-0.4608,-0.5883,-9.6589,-1.2521,-1.1826,0.7652,51.045082,13.777017,117.3
82806800,-0.2941,-0.4706,-9.6099,-1.3217,-1.4608,0.7652,51.045082,13.777017,117.3
82806800,-0.706,-0.4804,-9.1784,-1.6695,-1.0434,0.7652,51.045082,13.777017,117.3
82806800,-0.755,-0.0392,-9.3353,-1.113,-1.2521,0.6956,51.045082,13.777017,117.3
82806800,-1.1571,-0.2745,-9.3843,-0.3478,-2.2956,0.626,51.045086,13.777002,117.3
82806900,-1.0786,-0.4608,-9.2667,-0.5565,-1.6695,0.5565,51.045086,13.777002,117.24
82806900,-1.0198,-0.3137,-9.4726,-0.0695,-2.5739,0.5565,51.045086,13.777002,117.24
82806900,-1.3826,-0.5883,-9.7766,-0.5565,-2.5043,0.4869,51.045086,13.777002,117.24
82806900,-1.1178,-0.8727,-9.8746,-0.8347,-2.3652,0.6956,51.045086,13.777002,117.24
82806900,-1.0296,-0.8237,-10.2375,-1.1826,-2.9217,0.626,51.04509,13.776987,117.24
82807000,-1.314,-0.9119,-10.0315,-1.5304,-3.2695,0.7652,51.04509,13.776987,117.27
82807000,-0.7746,-0.6177,-10.3453,-1.8086,-2.8521,0.8347,51.04509,13.776987,117.27
82807000,-1.5199,-0.5197,-11.0612,-1.7391,-3.8956,0.8347,51.04509,13.776987,117.27
82807000,-0.6962,-0.4314,-10.5709,-2.226,-2.713,0.8347,51.04509,13.776987,117.27
82807000,-0.3334,-0.402,-9.4922,-1.2521,-2.3652,0.4869,51.045093,13.776971,117.27
82807100,-0.5785,-0.6275,-9.6393,-1.3913,-2.1565,0.6956,51.045093,13.776971,117.25
82807100,-0.3628,-0.5687,-9.6785,-1.3913,-2.2956,0.7652,51.045093,13.776971,117.25
82807100,-0.8923,-0.0294,-10.0806,-0.8347,-2.4347,0.8347,51.045093,13.776971,117.25
82807100,-0.7648,-0.5785,-8.7666,-1.1826,-2.1565,0.6956,51.045093,13.776971,117.25
82807100,-1.0884,-0.3235,-10.0021,-1.3913,-1.6695,0.9739,51.045097,13.776956,117.25
82807200,-1.5101,-0.3824,-9.6589,-1.113,-2.4347,0.9739,51.045097,13.776956,117.23
82807200,-1.412,-0.8335,-9.0509,-1.0434,-1.7391,1.113,51.045097,13.776956,117.23
82807200,-1.5591,-0.4216,-9.2372,-0.7652,-1.7391,0.9739,51.045097,13.776956,117.23
82807200,-1.1178,-0.657,-9.4922,-0.7652,-1.9478,0.9043,51.045097,13.776956,117.23
82807200,-0.8139,-0.2255,-9.5216,-0.7652,-2.0173,0.8347,51.045101,13.77694,117.23
82807300,-0.8531,-0.5099,-9.7374,-0.9043,-1.4608,0.626,51.045101,13.77694,117.2
82807300,-0.6373,-1.0786,-9.1784,-1.8086,-1.1826,0.9739,51.045101,13.77694,117.2
82807300,-0.8531,-0.4706,-10.2277,-1.7391,-0.9043,0.9739,51.045101,13.77694,117.2
82807300,-0.0196,0.0784,-9.0215,-1.3913,-0.2782,0.8347,51.045101,13.77694,117.2
82807300,-0.3039,-0.402,-9.8158,-1.3913,-1.6695,0.9739,51.045104,13.776925,117.2
82807400,-0.9904,0.098,-10.1884,-1.0434,-1.5304,0.7652,51.045104,13.776925,117.19
82807400,-1.9023,-0.4903,-10.159,-0.626,-1.6,0.8347,51.045104,13.776925,117.19
82807400,-1.2649,-0.8237,-9.5707,-1.7391,-1.5304,0.9043,51.045104,13.776925,117.19
82807400,-0.5589,-0.6668,-9.3451,-0.626,-1.1826,0.5565,51.045104,13.776925,117.19
82807400,-0.9511,-0.7158,-9.9237,-0.9739,-2.5739,0.7652,51.045108,13.776909,117.19
82807500,-0.9511,-0.2941,-9.8844,-0.9043,-2.713,0.9739,51.045108,13.776909,117.18
82807500,-1.1865,-0.7158,-10.9141,-0.626,-4.0347,0.9043,51.045108,13.776909,117.18
82807500,-0.3824,-0.7452,-9.8452,-1.6695,-2.7826,1.113,51.045108,13.776909,117.18
82807500,-0.6962,-0.3726,-9.6883,-1.0434,-2.9217,0.9739,51.045108,13.776909,117.18
82807500,-0.706,-0.147,-8.9921,-1.4608,-2.5739,0.9043,51.045112,13.776893,117.18
82807600,-1.2257,-0.2941,-9.8158,-0.8347,-3.3391,0.6956,51.045112,13.776893,117.17
82807600,-1.9514,-0.5001,-9.6295,-1.4608,-3.2695,0.7652,51.045112,13.776893,117.17
82807600,-1.5983,-0.4706,-10.3649,-1.1826,-2.713,0.626,51.045112,13.776893,117.17
82807600,-1.7062,-0.4314,-9.3353,-2.3652,-1.3217,0.7652,51.045112,13.776893,117.17
82807600,-0.8825,-0.5981,-9.3647,-1.7391,-2.0869,0.626,51.045116,13.776877,117.17
82807700,-1.2649,-0.3824,-9.7079,-2.3652,-2.0869,0.7652,51.045116,13.776877,117.18
82807700,-0.9904,-0.6668,-10.8062,-2.0869,-1.3913,0.6956,51.045116,13.776877,117.18
82807700,-0.6373,-0.353,-9.4726,-1.8086,-1.0434,0.5565,51.045116,13.776877,117.18
82807700,-0.2843,0.049,-9.1686,-1.8086,-0.5565,0.3478,51.045116,13.776877,117.18
82807700,-0.7158,-0.2059,-9.7668,-1.8086,-1.0434,0.2782,51.04512,13.776861,117.18
82807800,-0.8629,0.0294,-9.5216,-0.9043,-1.6,0.3478,51.04512,13.776861,117.19
82807800,-1.0002,-0.4804,-8.8352,-1.113,-0.9739,0.1391,51.04512,13.776861,117.19
82807800,-1.4905,-0.3039,-10.159,-1.3913,-1.9478,0.1391,51.04512,13.776861,117.19
